Genotype;AUC;TSW;MGT;T50;UNI;GR;GR36;GR42;FG;IS;VI;ES
NAVIG_156;2587;6.06;64.4;67.625;29.5;79;4;10;33.5;0.1088875;2.17775;0.139634822
NAVIG_159;3352;3.63;58.225;52.66666667;26.66666667;82;10;17;29.5;0.049854075;0.997081488;0.114826025
NAVIG_160;3849;5.13;53.5;52.825;22.53333333;87;11;20;33;0.115799;2.31598;0.159610104
NAVIG_161;2505;3.91;62.725;58.16666667;29;69;2;8;39;0.100149;2.00298;0.141227005
NAVIG_162;3842;4.19;51.9;53.5;22.66666667;84;12;28;31.5;0.079435667;1.588713333;0.151626217
NAVIG_163;2573;3.45;63.125;53.65;16;69;5;8;34;0.0768675;1.53735;0.11557719
NAVIG_164;3263;5.57;59.1;63.025;17.86666667;83;2;10;38.5;0.086796575;1.735931488;0.140573586
NAVIG_166;1444;6.12;75.43333333;57.8;18;46.66666667;0;1.333333333;58;0.1134825;2.26965;0.11887624
NAVIG_167;1058;4.49;68.5;89.9;NA;42;1;4;49.5;0.076799864;1.535997273;0.133159747
NAVIG_168;1938;4.65;62.575;70.85;NA;65;4;5;32;0.114323688;2.28647375;0.133965534
NAVIG_169;2416;4.29;54.175;62.025;NA;66;8;16;33.33333333;0.1002005;2.00401;0.168067603
NAVIG_170;2486;3.67;60.275;62.5;43;64;5;13;29.5;0.0951915;1.90383;0.127008575
NAVIG_172;2517;3.82;60.8;77.33333333;38;69.33333333;6.666666667;12;30.66666667;0.071573548;1.431470959;0.120685851
NAVIG_173;3424;5.81;59.325;56.9;26.45;90;8;14;30.5;0.1410555;2.82111;0.109116616
NAVIG_176;4527;4.24;49.475;47.075;30.25;95;26;40;30;0.122465521;2.449310417;0.121204892
NAVIG_177;2820;3.39;64.83333333;64.76666667;39.5;86.66666667;2.666666667;8;24;0.073105909;1.462118188;0.154151012
NAVIG_178;3695;4.33;54.8;54.375;39.8;87;12;25;37;0.096913;1.93826;0.133432529
NAVIG_180;2287;3.97;64.8;67.06666667;36;71;2;6;29;0.1131205;2.26241;0.110947569
NAVIG_181;5061;3.67;44.8;42.075;16;97;23;50;33;0.100686;2.01372;0.171528542
NAVIG_182;4102;3.9;53.55;51.575;17.1;94;7;15;26.5;0.0958135;1.91627;0.117555773
NAVIG_183;1311;4.36;61.8;NA;NA;37;2;3;35;0.078509917;1.570198333;0.161107639
NAVIG_184;2140;4.63;60.05;66.5;50;57;8;17;38.66666667;0.118623003;2.37246006;0.15682758
NAVIG_185;4709;4.57;46.325;48.5;17.2;91;33;47;30;0.1273145;2.54629;0.189547802
NAVIG_186;2958;4.41;54.85;58.375;23.83333333;85;8;17;25.5;0.0990915;1.98183;0.208640838
NAVIG_187;3551;3.49;59.3;57.625;20.33333333;93;5;9;32.66666667;0.069932458;1.398649167;0.135417905
NAVIG_188;2700;3.48;58.675;71.575;34;70;8;12;33;0.071756174;1.435123478;0.104852894
NAVIG_189;3095;4.82;57.75;62.2;19.65;73;7;18;32.5;0.0814275;1.62855;0.171359387
NAVIG_190;1705;4.63;62.075;87.25;NA;49;6;8;32;0.171017;3.42034;0.14221939
NAVIG_191;4406;4.69;51.25;50.125;20.575;96;17;27;36.5;0.127258;2.54516;0.17117352
NAVIG_193;3822;4.88;49.975;47.16666667;30;78;23;33;31;0.09071587;1.814317391;0.151729103
NAVIG_194;4374;6.07;49.975;49.7;28.5;92;24;35;27;0.1150795;2.30159;0.203553169
NAVIG_196;1838;3.53;63.925;72;NA;54;0;2;25.5;0.101094313;2.02188625;0.153393316
NAVIG_197;1006;3.45;51.375;NA;NA;22;1;6;40.5;0.074235065;1.484701304;0.121398047
NAVIG_198;3657;3.8;55.325;54.75;33.8;87;5;19;37;0.106728;2.13456;0.139173153
NAVIG_199;2765;2.84;60.36666667;63.33333333;42;74.66666667;2.666666667;9.333333333;34.66666667;0.080307333;1.606146667;0.127654228
NAVIG_201;2621;4.56;59.2;56.25;30;69;4;12;39;0.0901635;1.80327;0.150908008
NAVIG_202;2040;3.81;60.25;66.13333333;42.5;65;6;12;31;0.061526209;1.230524167;0.144295204
NAVIG_203;1565;3.09;62.625;93;NA;45;3;6;34.66666667;0.068807729;1.376154583;0.121730526
NAVIG_204;3512;3.4;56.75;57.575;37.9;86;14;21;32.5;0.092763;1.85526;0.137863777
NAVIG_205;2936;3.51;61.75;61.4;28;82;2;6;33.5;0.080676;1.61352;0.112749037
NAVIG_206;1514;4.9;57.825;81.5;NA;38;6;8;33.5;0.1198565;2.39713;0.134713021
NAVIG_207;3370;4.01;56.575;56.375;22.26666667;84;4;10;41;0.1016115;2.03223;0.11933911
NAVIG_208;2520;3.8;60.7;71;48;69.33333333;4;8;30;0.086198667;1.723973333;0.128676566
NAVIG_212;3739;3.33;52.55;50.075;31.66666667;85;11;26;39;0.1168005;2.33601;0.143167493
NAVIG_213;3323;4.41;56.35;60.5;22.5;79;10;21;35;0.1264305;2.52861;0.160459871
NAVIG_214;2919;3.8;58.73333333;58.25;28.5;76;8;13.33333333;31.33333333;0.080240667;1.604813333;0.145959411
NAVIG_215;2118;4.21;62.725;74.83333333;42;62;3;5;31.5;0.081937945;1.638758889;0.162863052
NAVIG_217;3298;3.68;55.45;57.75;47;80;9;23;27.5;0.1128075;2.25615;0.135726655
NAVIG_218;4290;5.01;51.45;51.05;21.825;94;12;24;37;0.146852;2.93704;0.180401786
NAVIG_219;2387;4.78;66.53333333;69.93333333;25.3;77.33333333;0;2.666666667;27.33333333;0.110327417;2.206548333;0.129718301
NAVIG_220;3837;4.26;52.375;54.7;30.83333333;85;17;26;35;0.11724125;2.344825;0.109900261
NAVIG_221;2360;4.05;67.96666667;72.33333333;38.5;80;1.333333333;5.333333333;37.33333333;0.075106667;1.502133333;0.135316017
NAVIG_222;2864;4.71;62.6;68.2;27.56666667;82;4;8;29.5;0.089307583;1.786151667;0.120259364
NAVIG_223;2995;4.17;61.275;68;36.66666667;83;8;16;36.5;0.087140932;1.742818636;0.132032878
NAVIG_224;4904;4.3;47.05;44.7;21.325;98;18;39;33;0.103548435;2.070968696;0.148829466
NAVIG_225;3139;4.78;60.275;57.93333333;26;83;6;13;26;0.102894167;2.057883333;0.134032124
NAVIG_226;3885;4.19;55.025;52.175;30;93;14;22;29.5;0.091149813;1.82299625;0.143254112
NAVIG_227;4085;4.54;53.46666667;51.33333333;32;93.33333333;17.33333333;25.33333333;33.33333333;0.097786917;1.955738333;0.174164683
NAVIG_228;3279;4.96;59.7;60.825;35.76666667;87;8;18;30;0.104402432;2.088048636;0.14483897
NAVIG_229;2618;3.24;63.25;60.66666667;33.66666667;76;4;10;31;0.0578465;1.15693;0.131935015
NAVIG_232;3195;4.42;58.675;62.5;34;83;4;14;35;0.109422896;2.188457917;0.123756038
NAVIG_234;3895;4.22;55.875;53.525;26.45;95;7;16;35.5;0.088290087;1.765801739;0.11818273
NAVIG_235;2872;5.65;59.15;58.16666667;28.23333333;74;4;14;28.5;0.149675;2.9935;0.154204743
NAVIG_236;2957;4.23;58.83333333;55.25;28.65;77.33333333;6.666666667;12;30;0.080364;1.60728;0.139266033
NAVIG_237;5355;4.84;42.95;38.65;18.425;99;36;62;35;0.104512632;2.090252632;0.184438538
NAVIG_238;2021;4.56;66.93333333;79.66666667;29.5;66.66666667;2.666666667;6.666666667;30;0.083241333;1.664826667;0.119571296
NAVIG_240;2737;4.05;63.85;66.56666667;27.5;81;7;11;29.5;0.087769646;1.755392917;0.110774219
NAVIG_243;3883;3.96;57.775;55.7;22.5;99;5;11;26.5;0.084697477;1.693949546;0.097089345
NAVIG_244;3820;4.46;49.925;49.125;29;89;19;35;38;0.102921956;2.058439113;0.18052748
NAVIG_255;4184;4.36;52.3;53.06666667;22.43333333;93.33333333;12;20;29.33333333;0.095924;1.91848;0.163500107
NAVIG_264;3966;3.64;53.325;51.75;15;90;6;15;31;0.078543458;1.570869167;0.150825953
NAVIG_305;4038;3.99;54.4;55.775;21.66666667;94;12;26;29.5;0.086165167;1.723303333;0.095006079
NAVIG_307;5225;4.41;41.875;40.75;24.75;95;42;55;27.5;0.106016722;2.120334444;0.144041667
NAVIG_308;1435;4.11;51.4;NA;NA;31;4;7;33;0.103167174;2.063343478;0.141974176
NAVIG_309;5050;4.81;46.5;44.5;21.425;100;31;41;28.5;0.13001475;2.600295;0.19161671
NAVIG_310;2079;4.91;56.8;72;NA;51;3;10;30;0.098582333;1.971646667;0.20308957
NAVIG_311;5052;4;46.45;43.85;14.825;100;14;43;28.5;0.086256472;1.725129445;0.165796361
NAVIG_312;4956;4.47;46.375;43.225;19.725;98;26;45;27;0.128738635;2.574772698;0.202105867
NAVIG_313;4527;4.86;47.13333333;52.76666667;13.85;89.33333333;26.66666667;41.33333333;26.66666667;0.142600667;2.852013333;0.190648438
NAVIG_314;4722;4.21;46.775;46.75;23;94;25;38;26.5;0.117304111;2.346082222;0.128656596
NAVIG_315;4921;4.6;47.25;44;20.875;99;22;44;26.5;0.094143681;1.882873623;0.154683668
NAVIG_317;4753;5.41;47.975;44.425;22.7;97;17;39;29;0.124869652;2.497393043;0.187931012
NAVIG_318;4311;4.77;52.55;50.3;17.625;97;11;17;29;0.091123588;1.822471765;0.192416502
NAVIG_319;5702;5.1;39.975;39.075;17.4;100;42;63;24;0.136088667;2.721773333;0.168649085
NAVIG_320;5183;3.46;44.65;40.85;19.925;99;30;55;26.5;0.084311536;1.686230725;0.152313924
NAVIG_321;4745;4.91;49.1;45.475;17.175;99;10;35;29;0.078764519;1.57529037;0.144163263
NAVIG_323;5206;4.36;44.95;43.5;18.5;100;27;45;27.5;0.070176148;1.403522963;0.132681538
NAVIG_324;4772;4.28;48.325;47.325;19.375;98;19;31;24.5;0.2110455;4.22091;0.151597066
NAVIG_326;5255;4.2;43.9;40.8;20.575;99;30;54;28.5;0.099354544;1.98709087;0.169926546
NAVIG_327;5195;5.51;43.4;41.7;16.825;97;32;52;32.5;0.160879932;3.217598636;0.140708426
NAVIG_328;2846;4.83;63;59.56666667;27.5;80;6;8;35;0.121158;2.42316;0.150593426
NAVIG_329;4823;4.83;48.225;46.675;13.625;99;14;22;26.5;0.119796;2.39592;0.154255305
NAVIG_331;5273;4.72;43.725;43.3;14.5;99;25;45;25.5;0.130467;2.60934;0.188002108
NAVIG_332;5140;4.32;44.525;42.525;13.25;98;15;48;29.5;0.095807167;1.916143333;0.145640568
NAVIG_333;5236;4.37;44.625;44.325;14.55;100;22;36;27.5;0.100861158;2.017223158;0.203927678
NAVIG_334;4932;3.66;47.675;44.8;17.25;100;16;33;26;0.067604857;1.352097143;0.127452337
NAVIG_335;5213;5.79;44.4;43;18.175;99;25;52;26.5;0.137626;2.75252;0.158562746
NAVIG_336;3936;4.44;54.45;55.55;24.125;92;9;18;32.5;0.104968478;2.099369565;0.127694788
NAVIG_337;2261;3.81;60.5;67;39;63;3;6;31.5;0.1101095;2.20219;0.104425889
NAVIG_338;3029;4.27;62.325;62.7;31.76666667;87;4;8;33.5;0.096512;1.93024;0.145839174
NAVIG_339;4350;4.63;52.65;52.975;15.225;98;5;15;31;0.095463028;1.909260556;0.190080873
NAVIG_340;3286;4.69;60.85;59.75;26.75;90;4;9;37.5;0.136804;2.73608;0.12407546
NAVIG_341;3659;5.07;58.425;58.025;23.925;95;4;13;28;0.120587364;2.411747273;0.17602975
NAVIG_342;4821;4.65;47.275;44.825;20.825;97;20;38;26;0.102675217;2.053504348;0.133120976
NAVIG_343;4531;3.89;48.25;46.825;27.425;93;24;40;29;0.090480208;1.809604167;0.153452381
NAVIG_344;4777;4.83;48.8;43.825;19.5;99;19;41;28.5;0.105511449;2.110228986;0.141878083
NAVIG_345;4842;3.89;46.575;45.2;18.075;96;15;39;29.5;0.102525826;2.050516522;0.173300347
NAVIG_346;4379;4.52;51.875;52.15;22.5;97;15;23;27;0.113480283;2.269605652;0.145040737
NAVIG_347;4741;4.7;48.15;46.875;20.3;97;20;36;30;0.122547333;2.450946667;0.143203222
NAVIG_348;4340;4.54;52.7;50.45;18.5;98;9;15;30.5;0.10834375;2.166875;0.164313768
NAVIG_349;5086;3.84;45.075;42.975;19.175;98;25;44;26;0.080308118;1.606162353;0.119923326
NAVIG_350;5298;4.36;44.025;42.375;14.3;100;22;45;28;0.095456972;1.909139444;0.138900436
NAVIG_351;5267;4.26;42.725;40.525;12.25;97;24;54;26;0.16259425;3.251885;0.17128972
NAVIG_352;4683;4.13;49.65;49.2;21.425;99;20;34;26.5;0.080772875;1.6154575;0.165562145
NAVIG_353;4552;4.32;49.45;46.375;21.425;96;13;32;30;0.150637333;3.012746667;0.138161641
NAVIG_354;4052;4.25;54.1;52.05;26.75;94;5;20;29.5;0.090882691;1.81765381;0.122560424
NAVIG_355;4302;4.57;52.4;50.25;27.675;96;12;27;29;0.137548476;2.750969524;0.133002995
NAVIG_356;5001;4.31;46.475;43.225;20.9;99;26;44;29;0.100373;2.00746;0.111810654
NAVIG_357;4395;4.39;48.7;45.25;20.375;91;15;33;28.5;0.109815;2.1963;0.158602088
NAVIG_358;3704;4.23;59.3;58.525;25.5;98;3;12;35.5;0.1145595;2.29119;0.108277549
NAVIG_359;4778;3.76;48.325;46.9;13.15;98;14;25;30;0.085582542;1.711650833;0.178031901
NAVIG_360;4823;4.02;48.3;44.025;17.45;99;17;40;30.66666667;0.091762;1.83524;0.140963655
NAVIG_361;2574;4.23;58.975;65.325;27;77;6;14;32;0.070850708;1.417014167;0.196160087
NAVIG_362;4144;5.5;52.175;50.95;18.43333333;92;11;29;29.5;0.130190813;2.60381625;0.180018902
NAVIG_363;5127;4.77;45.225;44.025;19.5;99;29;42;26.5;0.122567479;2.451349583;0.130223253
NAVIG_364;4927;4.51;47.275;44.925;14.775;99;16;33;28.5;0.116443455;2.328869091;0.173844728
NAVIG_365;4811;4.48;48.425;47.775;18.075;99;17;29;25;0.094479072;1.889581429;0.144974375
NAVIG_366;5020;4.73;46.8;43.4;17.45;100;23;44;25.5;0.109543478;2.190869565;0.193370616
NAVIG_367;5583;4.48;40.7;38.5;17.1;99;47;68;25;0.154862;3.09724;0.198471583
NAVIG_368;5179;3.82;44.675;43.2;16.075;99;23;44;26.5;0.080847417;1.616948333;0.150926787
NAVIG_369;3509;4.52;58.2;51.43333333;24.56666667;83;12;22;35;0.108105;2.1621;0.194791183
NAVIG_371;4761;4.25;45.575;43;23.95;93;29;44;27;0.1333735;2.66747;0.191813164
NAVIG_372;3264;4.78;57.45;59.825;36.33333333;82;9;13;32;0.1217905;2.43581;0.124085038
NAVIG_373;5888;4.1;38.125;36;15.25;100;52;74;23;0.107877104;2.157542083;0.147046847
NAVIG_374;4484;4.09;49.275;47.4;27.25;94;20;31;28.5;0.1242295;2.48459;0.139718503
NAVIG_375;4574;4.48;48.45;48.025;18.675;94;19;29;28;0.127844;2.55688;0.186912639
NAVIG_376;4151;4.42;51.75;51.325;23.325;91;15;29;31.5;0.155917;3.11834;0.127900731
NAVIG_380;4977;4.27;45.775;41.675;25.45;97;29;41;26.5;0.1351685;2.70337;0.142473917
NAVIG_381;5029;4.86;45.15;42.325;24.975;97;29;46;25.5;0.1511455;3.02291;0.1754433
NAVIG_383;4609;4.14;48.525;45.875;23.5;95;18;32;29;0.097696;1.95392;0.174971804
NAVIG_384;4665;6.03;44.625;44.925;25.225;89;21;43;27;0.222001;4.44002;0.181221994
NAVIG_385;4690;4.7;48.1;46.15;18.6;96;19;34;26.5;0.098167854;1.963357083;0.155172044
NAVIG_387;5266;4.63;43.175;40.7;15;98;29;60;26;0.124759;2.49518;0.189398399
NAVIG_388;4936;3.96;47.65;44.65;15.75;100;17;35;30.5;0.070229417;1.404588333;0.141250651
NAVIG_390;5444;4.51;42.55;40.15;15.3;100;34;61;28;0.10647687;2.129537391;0.179671359
NAVIG_391;5075;4.63;45.7;42.2;18.575;99;31;49;25.5;0.1274625;2.54925;0.121165594
NAVIG_392;5710;3.18;39.9;37;16.7;100;45;74;24.5;0.0854155;1.70831;0.143237481
NAVIG_393;1571;4.71;54.7;NA;NA;37;4;7;27;0.0987035;1.97407;0.146888939
NAVIG_394;4261;4.38;49.125;49.7;21.56666667;89;12;31;29;0.109803;2.19606;0.134318235
NAVIG_396;4589;4.39;48.9;47.575;22.5;95;19;41;31.5;0.089754667;1.795093333;0.128915486
NAVIG_397;4747;4.49;46.975;46.3;15.5;95;15;33;30;0.165992;3.31984;0.114801217
NAVIG_399;4099;3.87;54.675;52.675;20.75;97;9;16;30.5;0.12023;2.4046;0.110763814
NAVIG_400;4935;4.4;47.175;45;17.75;99;18;42;28.5;0.1377475;2.75495;0.146972865
NAVIG_401;4321;4.27;51.5;49.1;28.325;95;10;26;33;0.098653;1.97306;0.167569851
NAVIG_402;2087;4.18;59.375;67.25;33;57;2;7;35;0.1121605;2.24321;0.17254454
NAVIG_403;4739;3.8;48.2;46.55;21.35;97;16;36;28.5;0.1105155;2.21031;0.109763705
NAVIG_404;3787;3.69;54.95;56.2;29.75;89;10;23;30;0.098489739;1.969794783;0.148100856
NAVIG_405;4128;3.48;52.125;52.875;26.025;92;14;25;28.5;0.104496;2.08992;0.125725502
NAVIG_406;5162;4.17;45.4;42.275;18.65;100;27;51;27;0.1109865;2.21973;0.139861326
NAVIG_407;5022;4.19;44.75;42.575;16.15;96;25;49;27.5;0.1090415;2.18083;0.142668973
NAVIG_408;1895;4.54;65.85;81.875;NA;61;0;5;41.5;0.123725;2.4745;0.157650137
NAVIG_409;1833;4.43;56.75;67.25;NA;45;3;10;32.5;0.09714275;1.942855;0.165999458
NAVIG_411;4526;4.38;49.975;48.05;14.25;96;11;25;29;0.1122895;2.24579;0.171298361
NAVIG_414;4316;4.32;53.025;50.975;19.575;98;9;18;29;0.1085075;2.17015;0.124757795
NAVIG_415;5122;3.95;45.775;43.475;19.35;100;28;46;27;0.105863;2.11726;0.119954199
NAVIG_416;2183;4.75;68.625;72.43333333;28.85;75;0;3;44.5;0.1044515;2.08903;0.138657411
NAVIG_418;5363;4.78;42.8;41.25;19.7;99;32;57;24;0.1208395;2.41679;0.177009918
NAVIG_420;4840;4.46;47.625;45.35;14.35;98;12;36;29.5;0.096507;1.93014;0.157261928
NAVIG_421;4665;3.77;49.925;48.275;19.675;99;19;31;27.5;0.093251;1.86502;0.141466684
NAVIG_423;4469;4.68;50.975;48.075;20.5;97;13;23;30;0.124754938;2.49509875;0.147693185
NAVIG_424;5276;3.87;43.275;40.4;20.125;98;39;56;25;0.091010068;1.820201364;0.164607448
NAVIG_426;4649;4.87;50.025;47.575;16.825;99;14;33;32;0.10273853;2.054770588;0.143992844
NAVIG_430;4734;4.73;48.675;47.25;19.825;98;18;40;27;0.1145175;2.29035;0.177337299
NAVIG_431;4624;4.51;48.875;46.525;19.375;96;16;37;27;0.10856;2.1712;0.170407994
NAVIG_432;2987;4.27;52.85;55.825;31.16666667;83;18;23;30.5;0.083745;1.6749;0.205397362
NAVIG_433;4487;4.53;51.95;50.375;24.175;97;17;33;24;0.129055326;2.581106522;0.134004099
NAVIG_434;4511;3.65;51.475;50.025;18.175;99;11;25;31.5;0.1030255;2.06051;0.110893247
NAVIG_437;1114;5.89;54.725;NA;NA;32;2;8;37.5;0.111915854;2.238317083;0.171028257
NAVIG_438;4834;4.04;45.475;42.7;21.75;94;21;45;29;0.1133945;2.26789;0.148736305
NAVIG_439;3543;4.3;57.85;59.95;20;89;7;17;31;0.099044909;1.980898182;0.111489778
NAVIG_440;4887;4.69;46.75;44.575;19.075;97;19;42;28;0.1370085;2.74017;0.131642854
NAVIG_441;3771;2.88;55.275;58.675;28.33333333;89;14;20;30;0.075991526;1.519830526;0.103833559
NAVIG_442;3471;3.59;53.85;60.025;41.66666667;79;14;26;31;0.126205546;2.524110909;0.157879247
NAVIG_443;4350;4.93;50.85;50.375;17.875;94;11;22;35.5;0.1347015;2.69403;0.097419853
NAVIG_445;2645;3.59;58.05;55.66666667;25.65;63;3;12;43.5;0.1018125;2.03625;0.129759946
NAVIG_447;3927;4.58;54.225;56.5;32.125;91;19;24;25;0.104928857;2.098577143;0.124112052
NAVIG_449;4849;3.81;45.975;45.4;18.75;95;21;36;26.5;0.1103465;2.20693;0.122862017
NAVIG_450;2653;3.12;60.95;66.125;26.5;73;0;6;41;0.095746;1.91492;0.149748921
NAVIG_451;2041;4.62;55.375;64;NA;57;9;14;28;0.104787188;2.09574375;0.149349713
NAVIG_452;3926;4.24;53.725;54.8;28.325;90;12;25;33.5;0.09952475;1.990495;0.163475081
NAVIG_453;4205;3.78;53.85;53.975;27.95;97;12;25;30.5;0.096308;1.92616;0.126335657
NAVIG_454;1919;4.16;63.375;68;42;59;3;7;40;0.072963625;1.4592725;0.144647
NAVIG_455;4772;4.11;47.3;45.75;20.825;96;22;38;26;0.1236035;2.47207;0.159802682
NAVIG_456;3066;2.55;58.925;51.23333333;29.9;76;4;11;38.5;0.083305;1.6661;0.143361388
NAVIG_457;3086;4.63;61.625;65.575;23.66666667;86;3;11;36;0.107659614;2.153192273;0.113608898
NAVIG_459;4147;4.52;54.225;52.275;26.3;97;9;25;29.5;0.1283655;2.56731;0.110688074
NAVIG_460;1383;3.87;54.675;NA;NA;33;5;9;31.5;0.074819292;1.496385833;0.11103652
NAVIG_462;4565;5.09;49.075;48;16.75;95;11;31;27.5;0.1203445;2.40689;0.133247917
NAVIG_463;3680;4.42;59.7;59.15;26.65;98;6;15;34;0.124702;2.49404;0.084849145
NAVIG_464;3945;3.94;52.2;54.775;25.75;87;17;28;27.5;0.084102;1.68204;0.171253293
NAVIG_466;4965;4.71;45.85;44.325;15.9;97;21;40;26.5;0.1254465;2.50893;0.163997675
NAVIG_467;4928;4.38;44.825;44.075;28.5;94;28;47;27;0.111576;2.23152;0.199008684
NAVIG_468;3761;5.8;54.675;59.025;19.76666667;87;10;16;29;0.172711;3.45422;0.141580944
NAVIG_469;4131;4.96;52.275;54.45;27.33333333;91;20;30;25;0.125521;2.51042;0.144081908
